Datetime,open,high,low,close
2021.04.07 05:04,1.188580,1.188620,1.188480,1.188490
2021.04.07 05:05,1.188490,1.188540,1.188450,1.188540
2021.04.07 05:06,1.188530,1.188590,1.188530,1.188570
2021.04.07 05:07,1.188570,1.188580,1.188500,1.188580
2021.04.07 05:08,1.188580,1.188670,1.188560,1.188620
2021.04.07 05:09,1.188630,1.188690,1.188590,1.188630
2021.04.07 05:10,1.188630,1.188880,1.188630,1.188880
2021.04.07 05:11,1.188880,1.188970,1.188850,1.188870
2021.04.07 05:12,1.188870,1.188900,1.188650,1.188730
2021.04.07 05:13,1.188740,1.188870,1.188730,1.188730
2021.04.07 05:14,1.188750,1.188770,1.188570,1.188590
2021.04.07 05:15,1.188570,1.188610,1.188420,1.188430
2021.04.07 05:16,1.188430,1.188440,1.188250,1.188290
2021.04.07 05:17,1.188310,1.188360,1.188210,1.188220
2021.04.07 05:18,1.188210,1.188240,1.188120,1.188190
2021.04.07 05:19,1.188180,1.188210,1.188050,1.188130
2021.04.07 05:20,1.188110,1.188200,1.188100,1.188200
2021.04.07 05:21,1.188190,1.188260,1.188150,1.188170
2021.04.07 05:22,1.188170,1.188260,1.188160,1.188260
2021.04.07 05:23,1.188260,1.188330,1.188240,1.188320
2021.04.07 05:24,1.188310,1.188360,1.188210,1.188220
2021.04.07 05:25,1.188240,1.188260,1.188180,1.188210
2021.04.07 05:26,1.188220,1.188280,1.188140,1.188170
2021.04.07 05:27,1.188200,1.188270,1.188190,1.188250
2021.04.07 05:28,1.188260,1.188260,1.188220,1.188250
2021.04.07 05:29,1.188250,1.188280,1.188100,1.188100
2021.04.07 05:30,1.188110,1.188160,1.188040,1.188070
2021.04.07 05:31,1.188070,1.188130,1.188030,1.188060
2021.04.07 05:32,1.188060,1.188060,1.187910,1.187910
2021.04.07 05:33,1.187910,1.187950,1.187860,1.187910
2021.04.07 05:34,1.187920,1.188060,1.187900,1.188010
2021.04.07 05:35,1.188030,1.188110,1.188010,1.188110
2021.04.07 05:36,1.188100,1.188150,1.188090,1.188110
2021.04.07 05:37,1.188120,1.188170,1.188100,1.188100
2021.04.07 05:38,1.188110,1.188200,1.188110,1.188180
2021.04.07 05:39,1.188190,1.188300,1.188190,1.188200
2021.04.07 05:40,1.188210,1.188230,1.188090,1.188090
2021.04.07 05:41,1.188080,1.188090,1.187880,1.187880
2021.04.07 05:42,1.187870,1.188060,1.187870,1.188020
2021.04.07 05:43,1.188060,1.188070,1.187990,1.187990
2021.04.07 05:44,1.187970,1.187970,1.187860,1.187860
2021.04.07 05:45,1.187870,1.187880,1.187720,1.187750
2021.04.07 05:46,1.187760,1.187960,1.187730,1.187910
2021.04.07 05:47,1.187910,1.188160,1.187900,1.188140
2021.04.07 05:48,1.188140,1.188200,1.188080,1.188160
2021.04.07 05:49,1.188150,1.188290,1.188110,1.188290
2021.04.07 05:50,1.188270,1.188420,1.188200,1.188420
2021.04.07 05:51,1.188430,1.188510,1.188430,1.188500
2021.04.07 05:52,1.188500,1.188500,1.188350,1.188350
2021.04.07 05:53,1.188350,1.188420,1.188310,1.188350
2021.04.07 05:54,1.188350,1.188350,1.188200,1.188210
2021.04.07 05:55,1.188190,1.188350,1.188150,1.188350
2021.04.07 05:56,1.188340,1.188470,1.188320,1.188450
2021.04.07 05:57,1.188460,1.188460,1.188350,1.188390
2021.04.07 05:58,1.188380,1.188420,1.188320,1.188360
2021.04.07 05:59,1.188340,1.188420,1.188310,1.188420
2021.04.07 06:00,1.188400,1.188500,1.188390,1.188500
2021.04.07 06:01,1.188500,1.188500,1.188340,1.188460
2021.04.07 06:02,1.188470,1.188510,1.188400,1.188460
2021.04.07 06:03,1.188450,1.188450,1.188300,1.188370
2021.04.07 06:04,1.188350,1.188350,1.188260,1.188270
2021.04.07 06:05,1.188290,1.188500,1.188290,1.188410
2021.04.07 06:06,1.188400,1.188520,1.188350,1.188520
2021.04.07 06:07,1.188500,1.188570,1.188490,1.188520
2021.04.07 06:08,1.188510,1.188560,1.188490,1.188540
2021.04.07 06:09,1.188540,1.188620,1.188500,1.188500
2021.04.07 06:10,1.188500,1.188700,1.188500,1.188680
2021.04.07 06:11,1.188670,1.188710,1.188650,1.188660
2021.04.07 06:12,1.188670,1.188700,1.188660,1.188670
2021.04.07 06:13,1.188660,1.188920,1.188660,1.188870
2021.04.07 06:14,1.188860,1.188920,1.188850,1.188920
2021.04.07 06:15,1.188920,1.188920,1.188860,1.188870
2021.04.07 06:16,1.188860,1.188910,1.188840,1.188870
2021.04.07 06:17,1.188880,1.188890,1.188840,1.188890
2021.04.07 06:18,1.188890,1.188890,1.188740,1.188790
2021.04.07 06:19,1.188780,1.188820,1.188730,1.188800
2021.04.07 06:20,1.188780,1.188830,1.188760,1.188830
2021.04.07 06:21,1.188790,1.188850,1.188750,1.188780
2021.04.07 06:22,1.188780,1.188870,1.188760,1.188870
2021.04.07 06:23,1.188860,1.188870,1.188800,1.188820
2021.04.07 06:24,1.188800,1.188920,1.188800,1.188890
2021.04.07 06:25,1.188880,1.188910,1.188750,1.188760
2021.04.07 06:26,1.188740,1.188870,1.188690,1.188830
2021.04.07 06:27,1.188820,1.188930,1.188810,1.188900
2021.04.07 06:28,1.188910,1.188920,1.188730,1.188730
2021.04.07 06:29,1.188760,1.188760,1.188670,1.188670
2021.04.07 06:30,1.188680,1.188930,1.188670,1.188930
2021.04.07 06:31,1.188930,1.189190,1.188900,1.189140
2021.04.07 06:32,1.189150,1.189360,1.189150,1.189180
2021.04.07 06:33,1.189150,1.189350,1.189150,1.189350
2021.04.07 06:34,1.189330,1.189390,1.189300,1.189340
2021.04.07 06:35,1.189350,1.189350,1.189150,1.189180
2021.04.07 06:36,1.189160,1.189400,1.189090,1.189400
2021.04.07 06:37,1.189410,1.189470,1.189170,1.189180
2021.04.07 06:38,1.189180,1.189180,1.189040,1.189040
2021.04.07 06:39,1.189050,1.189120,1.189030,1.189060
2021.04.07 06:40,1.189070,1.189070,1.188870,1.188870
2021.04.07 06:41,1.188840,1.189060,1.188810,1.189020
2021.04.07 06:42,1.189030,1.189070,1.188920,1.189040
2021.04.07 06:43,1.189020,1.189060,1.188890,1.188910
2021.04.07 06:44,1.188900,1.188970,1.188890,1.188920
2021.04.07 06:45,1.188910,1.188990,1.188860,1.188960
2021.04.07 06:46,1.188950,1.189070,1.188940,1.189060
2021.04.07 06:47,1.189050,1.189340,1.189040,1.189340
2021.04.07 06:48,1.189340,1.189350,1.189260,1.189310
2021.04.07 06:49,1.189300,1.189630,1.189300,1.189600
2021.04.07 06:50,1.189600,1.189710,1.189570,1.189700
2021.04.07 06:51,1.189700,1.189700,1.189590,1.189600
2021.04.07 06:52,1.189610,1.189620,1.189280,1.189350
2021.04.07 06:53,1.189350,1.189520,1.189320,1.189460
2021.04.07 06:54,1.189460,1.189470,1.189360,1.189460
2021.04.07 06:55,1.189460,1.189770,1.189460,1.189690
2021.04.07 06:56,1.189690,1.189830,1.189680,1.189760
2021.04.07 06:57,1.189760,1.189790,1.189690,1.189690
2021.04.07 06:58,1.189680,1.189690,1.189420,1.189420
2021.04.07 06:59,1.189420,1.189500,1.189210,1.189210
2021.04.07 07:00,1.189230,1.189270,1.189070,1.189080
2021.04.07 07:01,1.189060,1.189190,1.189020,1.189180
2021.04.07 07:02,1.189200,1.189220,1.189030,1.189130
2021.04.07 07:03,1.189110,1.189200,1.189000,1.189060
2021.04.07 07:04,1.189070,1.189130,1.189000,1.189000
2021.04.07 07:05,1.188990,1.189050,1.188940,1.189050
2021.04.07 07:06,1.189060,1.189140,1.189000,1.189090
2021.04.07 07:07,1.189070,1.189110,1.189060,1.189090
2021.04.07 07:08,1.189090,1.189250,1.189090,1.189150
2021.04.07 07:09,1.189150,1.189210,1.189130,1.189210
2021.04.07 07:10,1.189230,1.189250,1.188790,1.188790
2021.04.07 07:11,1.188790,1.188880,1.188650,1.188880
2021.04.07 07:12,1.188860,1.188880,1.188790,1.188790
2021.04.07 07:13,1.188800,1.188860,1.188710,1.188800
2021.04.07 07:14,1.188780,1.188780,1.188710,1.188740
2021.04.07 07:15,1.188750,1.188770,1.188700,1.188730
2021.04.07 07:16,1.188730,1.188820,1.188680,1.188690
2021.04.07 07:17,1.188680,1.188840,1.188680,1.188830
2021.04.07 07:18,1.188850,1.188910,1.188790,1.188870
2021.04.07 07:19,1.188880,1.189070,1.188830,1.189050
2021.04.07 07:20,1.189040,1.189040,1.188820,1.188890
2021.04.07 07:21,1.188900,1.188950,1.188820,1.188850
2021.04.07 07:22,1.188850,1.188930,1.188820,1.188920
2021.04.07 07:23,1.188910,1.188910,1.188830,1.188860
2021.04.07 07:24,1.188860,1.188890,1.188750,1.188770
2021.04.07 07:25,1.188750,1.188960,1.188750,1.188900
2021.04.07 07:26,1.188910,1.189120,1.188880,1.189040
2021.04.07 07:27,1.189060,1.189090,1.188960,1.189090
2021.04.07 07:28,1.189050,1.189050,1.188870,1.188990
2021.04.07 07:29,1.189020,1.189210,1.189020,1.189190
2021.04.07 07:30,1.189190,1.189240,1.189110,1.189160
2021.04.07 07:31,1.189150,1.189260,1.189140,1.189260
2021.04.07 07:32,1.189240,1.189280,1.189140,1.189260
2021.04.07 07:33,1.189270,1.189280,1.189120,1.189140
2021.04.07 07:34,1.189130,1.189170,1.189120,1.189170
2021.04.07 07:35,1.189190,1.189190,1.189100,1.189150
2021.04.07 07:36,1.189140,1.189200,1.189130,1.189160
2021.04.07 07:37,1.189160,1.189440,1.189140,1.189430
2021.04.07 07:38,1.189420,1.189600,1.189410,1.189600
2021.04.07 07:39,1.189570,1.189570,1.189470,1.189510
2021.04.07 07:40,1.189490,1.189660,1.189450,1.189660
2021.04.07 07:41,1.189640,1.189700,1.189640,1.189650
2021.04.07 07:42,1.189670,1.189700,1.189470,1.189570
2021.04.07 07:43,1.189550,1.189570,1.189510,1.189560
2021.04.07 07:44,1.189560,1.189610,1.189530,1.189530
2021.04.07 07:45,1.189530,1.189530,1.189360,1.189400
2021.04.07 07:46,1.189420,1.189430,1.189350,1.189430
2021.04.07 07:47,1.189440,1.189660,1.189430,1.189650
2021.04.07 07:48,1.189650,1.189650,1.189570,1.189610
2021.04.07 07:49,1.189610,1.189660,1.189560,1.189570
2021.04.07 07:50,1.189580,1.189660,1.189560,1.189660
2021.04.07 07:51,1.189670,1.189670,1.189290,1.189290
2021.04.07 07:52,1.189300,1.189360,1.189200,1.189220
2021.04.07 07:53,1.189230,1.189330,1.189200,1.189300
2021.04.07 07:54,1.189310,1.189310,1.189210,1.189210
2021.04.07 07:55,1.189220,1.189270,1.189020,1.189030
2021.04.07 07:56,1.189040,1.189040,1.188790,1.188810
2021.04.07 07:57,1.188810,1.188870,1.188710,1.188870
2021.04.07 07:58,1.188870,1.189130,1.188790,1.188800
2021.04.07 07:59,1.188790,1.189000,1.188770,1.188930
2021.04.07 08:00,1.188930,1.188940,1.188670,1.188720
2021.04.07 08:01,1.188720,1.188720,1.188420,1.188420
2021.04.07 08:02,1.188430,1.188720,1.188430,1.188620
2021.04.07 08:03,1.188620,1.188670,1.188520,1.188520
